student_id,department,study_hours,sleep_hours,attendance_rate,course_score,wellbeing
S001,Design,4.2,7.1,0.88,76,7
S002,Science,6.5,7.8,0.95,89,8
S003,Business,5.1,6.4,0.82,78,6
S004,Engineering,7.4,6.8,0.97,93,7
S005,Design,3.8,7.5,0.84,72,8
S006,Science,5.9,8.0,0.91,86,9
S007,Business,,6.9,0.79,74,6
S008,Engineering,8.1,6.2,0.98,96,6
S009,Design,4.7,7.3,0.90,81,8
S010,Science,6.2,7.0,0.93,88,7
S011,Business,5.5,7.6,0.87,82,8
S012,Engineering,7.8,6.5,0.96,94,7
S013,Design,4.0,8.2,0.85,75,9
S014,Science,6.9,7.4,0.94,91,8
S015,Business,5.0,6.7,0.81,77,6
S016,Engineering,7.2,6.9,0.92,90,7
S017,Design,3.5,7.9,0.78,69,8
S018,Science,5.7,7.7,0.89,84,8
S019,Business,4.8,7.2,0.86,79,7
S020,Engineering,8.4,6.1,0.99,97,6
